50
-1	35	52	79	3	41	25	57	94	3	66	50	29	45	32	35	77	82	41	50	63	7	67	62	9	98	69	45	9	4	23	66	6	17	40	76	79	67	69	26	65	38	23	17	7	47	80	15	19	28	
98	-1	73	36	39	88	43	3	45	49	35	58	9	74	91	19	97	59	19	92	16	77	42	39	20	63	96	17	22	42	8	26	72	26	50	39	14	21	92	59	92	98	1	55	67	82	62	46	90	82	
52	71	-1	55	98	18	44	62	7	71	26	49	15	78	62	77	29	66	76	8	39	48	38	47	88	87	64	42	17	26	69	5	7	67	100	65	26	60	7	32	77	42	32	41	10	58	63	64	3	51	
75	32	89	-1	23	72	42	19	17	36	69	62	63	41	42	64	5	15	62	99	13	66	89	20	93	9	57	47	6	64	8	41	90	80	75	35	25	97	27	20	31	44	92	42	17	18	56	9	88	3	
37	37	50	19	-1	50	45	20	90	94	91	87	74	46	30	80	22	32	82	25	17	17	46	85	12	97	64	32	59	27	57	89	73	54	66	9	7	22	22	71	59	24	53	58	74	37	86	99	22	40	
12	97	71	46	50	-1	51	52	73	8	52	62	61	24	29	89	22	92	32	74	2	50	74	20	26	89	81	5	98	50	44	84	74	91	81	5	42	11	13	60	23	71	85	89	51	14	10	31	21	3	
53	64	45	22	41	65	-1	85	32	46	90	33	29	60	100	19	59	11	97	55	69	12	88	17	23	39	13	84	32	86	35	70	25	78	24	64	60	1	37	60	93	44	47	9	87	74	82	31	31	24	
68	90	60	94	39	35	50	-1	54	2	33	72	24	21	30	100	42	44	95	47	60	66	87	96	62	66	78	85	93	93	77	7	56	33	50	81	96	2	34	48	2	68	69	29	7	96	73	47	44	74	
97	27	12	70	8	74	26	41	-1	54	14	43	50	94	27	7	86	52	91	67	89	74	88	56	86	14	52	37	89	38	31	86	75	22	73	95	50	69	74	87	33	6	22	99	25	97	12	10	85	79	
42	6	96	90	22	82	6	48	59	-1	93	80	9	27	67	7	11	20	35	97	62	52	33	78	61	89	81	42	71	25	95	60	1	83	24	6	58	14	85	10	44	57	39	37	11	19	51	33	64	60	
35	89	48	12	48	75	1	88	29	45	-1	11	42	96	9	42	25	55	21	32	5	2	55	66	19	87	12	8	44	70	91	36	22	50	52	31	99	16	65	34	54	63	30	18	84	7	68	23	36	42	
31	98	82	96	28	65	8	1	12	39	72	-1	84	15	40	52	50	71	90	40	21	25	61	84	19	12	36	50	26	11	20	84	44	77	56	73	34	27	86	52	89	30	49	29	89	46	80	1	86	46	
9	72	79	97	70	1	49	64	44	16	44	44	-1	96	62	75	23	11	22	50	46	28	39	79	46	89	79	14	28	51	42	94	69	82	6	3	65	40	25	53	38	3	39	56	81	76	93	90	17	11	
18	71	87	52	54	79	92	24	33	81	40	37	45	-1	22	11	38	38	7	47	7	36	83	14	40	82	88	68	7	94	33	26	39	57	28	84	74	8	82	56	18	47	19	68	15	5	70	70	56	4	
36	97	1	43	36	51	27	93	31	58	26	8	92	39	-1	91	81	51	45	97	6	90	41	14	53	17	94	85	19	86	92	46	21	3	73	71	17	58	35	78	92	9	70	97	43	8	32	68	48	99	
12	53	82	28	41	92	32	65	43	70	69	66	46	32	48	-1	82	37	96	54	14	96	11	48	10	30	3	99	67	97	46	89	100	31	64	66	1	98	78	39	85	7	19	41	90	20	7	25	87	17	
6	51	85	27	50	8	22	32	88	41	74	50	41	17	10	52	-1	39	82	59	81	33	74	63	82	35	11	87	53	11	1	20	83	25	27	61	68	100	93	33	73	85	92	13	91	40	50	90	25	17	
48	76	5	64	86	89	31	47	50	31	75	83	71	27	6	2	98	-1	56	46	65	6	63	53	54	36	89	39	75	94	94	7	88	78	99	44	12	98	46	60	11	90	83	64	76	75	11	89	73	9	
93	11	96	95	29	8	74	22	48	3	51	57	11	21	68	47	63	52	-1	32	46	85	71	66	59	20	53	81	97	44	77	1	31	15	61	46	48	81	45	18	25	60	43	12	66	29	97	66	92	50	
10	14	42	24	73	49	14	96	98	63	34	97	18	71	32	12	85	46	38	-1	4	42	82	81	71	71	77	85	37	33	13	76	27	14	26	47	78	77	51	6	53	3	30	26	40	92	94	41	23	91	
33	12	79	9	53	55	47	86	6	30	85	62	99	59	38	80	10	64	95	97	-1	20	79	78	27	57	91	8	54	71	80	36	39	50	94	52	63	7	6	99	10	33	58	59	88	33	62	15	80	43	
42	55	83	30	41	74	20	36	27	69	26	26	36	55	40	50	57	5	24	81	90	-1	22	13	64	40	41	87	21	67	34	69	51	4	38	93	43	93	31	76	92	9	55	98	6	86	100	96	93	16	
48	79	99	88	30	88	47	20	17	35	55	85	91	24	94	58	56	45	47	67	48	84	-1	61	89	67	67	51	40	39	93	74	63	27	54	44	11	14	15	39	26	98	11	55	85	94	41	44	52	18	
36	19	17	77	47	18	100	99	32	58	33	24	4	69	71	85	11	89	31	82	58	35	95	-1	67	100	27	37	35	4	8	47	34	61	63	33	18	59	80	17	84	27	15	61	20	88	59	22	98	83	
97	48	94	68	73	43	70	22	38	68	91	81	6	14	13	22	2	94	87	30	38	61	51	91	-1	97	85	41	23	64	79	6	34	57	23	54	50	26	60	50	65	78	34	48	28	95	37	96	85	20	
77	80	25	21	30	94	63	73	24	20	43	48	79	49	40	13	15	54	65	84	88	55	89	92	52	-1	47	20	75	81	21	59	59	84	13	96	69	70	38	56	70	95	38	66	77	8	35	36	36	73	
62	54	35	6	57	89	19	69	41	18	85	81	62	52	48	81	15	79	93	37	12	50	37	36	21	30	-1	98	29	100	71	82	43	3	48	47	79	68	66	87	25	68	38	38	25	21	44	10	96	28	
34	45	93	7	28	46	57	15	59	57	47	48	58	72	68	7	34	58	9	28	20	82	21	14	16	21	74	-1	36	14	23	16	81	68	55	88	10	80	96	89	46	67	82	48	83	78	78	81	63	79	
83	51	78	91	78	56	78	71	63	71	10	83	91	57	51	15	52	41	15	92	76	93	92	49	3	62	5	54	-1	99	80	72	8	76	62	20	87	11	86	11	44	99	32	74	40	39	63	28	57	83	
57	41	93	61	24	8	24	25	65	83	41	56	24	80	97	98	52	95	20	2	32	47	32	6	58	66	75	19	43	-1	54	63	58	11	76	11	24	66	70	61	31	76	15	98	97	65	21	10	52	72	
72	69	3	41	1	13	32	88	49	48	6	28	15	56	69	31	40	82	88	64	66	20	2	91	34	90	25	20	42	31	-1	14	50	21	87	81	57	1	87	68	42	55	25	33	14	21	46	13	50	85	
5	74	25	99	77	5	54	37	13	32	95	38	59	34	31	76	62	68	16	27	76	46	20	48	40	19	25	23	63	26	14	-1	27	22	21	85	27	27	70	86	86	39	71	33	91	87	70	98	3	50	
86	51	43	18	4	99	56	31	81	46	92	56	19	18	18	39	94	4	18	87	9	17	79	40	50	27	92	55	18	15	4	10	-1	40	89	57	43	87	30	75	36	22	25	46	93	76	63	38	37	17	
43	90	62	3	26	75	55	36	43	85	27	19	27	41	76	69	19	29	93	50	50	66	99	35	68	20	30	27	31	3	64	69	85	-1	76	73	76	34	1	65	18	32	62	51	84	84	48	78	63	55	
35	69	19	65	19	2	8	45	30	42	65	13	25	3	19	47	60	63	91	75	83	50	43	15	99	26	3	21	84	21	70	12	99	90	-1	26	1	95	28	48	87	8	91	37	49	85	44	62	35	42	
95	21	92	12	30	16	35	84	77	65	79	13	77	31	27	62	30	16	58	19	60	88	87	70	23	53	88	93	77	51	87	35	16	9	42	-1	12	57	32	96	89	45	8	48	63	21	10	2	78	11	
69	78	77	91	19	31	12	75	69	89	59	31	93	3	1	31	76	92	71	90	76	70	38	55	40	59	58	3	94	100	85	82	8	55	95	77	-1	90	1	79	67	46	24	25	2	89	73	22	92	82	
22	45	23	92	18	67	90	9	25	26	33	60	9	1	71	98	21	91	49	36	9	1	38	56	78	69	25	63	87	88	75	26	20	86	86	79	63	-1	61	17	5	1	23	100	11	18	32	66	42	22	
19	5	90	57	19	86	74	10	62	70	26	29	81	76	48	91	50	12	30	25	54	23	59	19	5	92	40	70	60	2	17	84	98	79	68	48	62	21	-1	17	28	75	75	18	5	56	74	33	14	86	
73	24	85	99	81	9	59	97	1	30	9	87	73	10	42	80	12	49	7	68	44	44	17	50	53	100	93	56	71	1	46	44	40	2	18	61	19	32	14	-1	17	86	22	71	28	53	46	77	80	44	
33	92	99	43	20	71	90	16	28	56	71	21	15	57	9	90	59	60	55	49	47	47	54	48	80	21	47	43	93	12	48	19	45	17	57	90	16	33	31	12	-1	41	59	8	97	80	29	62	4	48	
76	76	71	14	42	93	20	59	51	92	23	22	87	67	85	33	65	32	44	81	52	41	96	8	57	55	26	40	54	17	96	81	25	42	4	67	56	52	40	39	47	-1	59	32	50	14	81	25	4	73	
63	51	35	94	88	22	89	34	80	90	77	34	20	50	25	95	44	21	80	56	81	80	58	27	92	60	64	54	70	28	55	11	34	45	37	34	72	16	95	70	39	19	-1	86	87	18	60	73	3	61	
14	33	26	31	86	73	34	87	17	61	46	47	18	38	10	80	43	92	25	25	39	34	42	32	70	65	41	86	81	72	92	19	95	83	23	81	4	71	72	52	64	76	39	-1	22	87	100	59	55	84	
39	97	79	59	36	49	43	79	55	30	38	40	31	34	29	64	25	50	13	51	58	42	79	53	54	92	36	99	41	13	58	94	63	28	63	7	86	92	41	74	35	8	45	6	-1	13	29	47	36	97	
