30
-1	48	90	95	97	87	43	65	48	60	88	7	54	80	5	84	26	66	96	1	3	93	44	94	73	55	11	92	53	49	
48	-1	4	88	4	46	48	47	63	28	82	47	33	34	68	9	93	99	24	15	74	91	85	52	28	23	67	41	93	73	
90	4	-1	100	43	20	18	31	46	76	11	49	16	36	90	15	18	57	6	95	54	25	52	46	74	23	76	21	100	99	
95	88	100	-1	15	39	15	32	85	94	88	78	58	1	44	33	49	10	45	39	89	84	47	53	12	83	53	85	5	43	
97	4	43	15	-1	5	10	81	17	8	12	67	51	57	50	36	55	72	18	97	55	18	55	11	67	19	76	74	66	90	
87	46	20	39	5	-1	76	4	69	88	81	48	90	71	58	17	1	49	80	13	69	70	35	48	25	82	37	95	66	27	
43	48	18	15	10	76	-1	18	97	8	65	96	23	13	90	46	51	9	48	2	11	32	97	23	42	21	3	86	48	59	
65	47	31	32	81	4	18	-1	12	4	34	73	43	13	81	53	91	59	91	8	48	58	53	72	20	11	67	47	31	15	
48	63	46	85	17	69	97	12	-1	85	17	30	89	99	44	53	30	36	22	31	36	82	50	26	1	9	94	87	41	93	
60	28	76	94	8	88	8	4	85	-1	29	43	99	9	69	7	12	85	43	41	64	94	65	7	37	76	59	63	57	5	
88	82	11	88	12	81	65	34	17	29	-1	34	100	35	1	30	36	1	40	47	15	57	83	85	63	33	33	26	68	20	
7	47	49	78	67	48	96	73	30	43	34	-1	53	48	25	37	62	28	92	2	14	42	67	86	83	2	51	70	77	3	
54	33	16	58	51	90	23	43	89	99	100	53	-1	25	26	95	62	62	26	25	45	95	90	38	36	14	67	100	95	100	
80	34	36	1	57	71	13	13	99	9	35	48	25	-1	71	45	97	68	89	99	53	38	49	62	8	35	36	83	82	12	
5	68	90	44	50	58	90	81	44	69	1	25	26	71	-1	99	64	36	13	64	31	97	5	42	33	99	10	78	72	40	
84	9	15	33	36	17	46	53	53	7	30	37	95	45	99	-1	94	77	31	2	79	92	68	40	63	26	2	30	1	25	
26	93	18	49	55	1	51	91	30	12	36	62	62	97	64	94	-1	40	31	30	88	33	96	3	15	30	12	58	3	93	
66	99	57	10	72	49	9	59	36	85	1	28	62	68	36	77	40	-1	14	80	76	31	59	6	80	8	69	58	69	9	
96	24	6	45	18	80	48	91	22	43	40	92	26	89	13	31	31	14	-1	3	60	74	59	57	80	22	46	70	82	38	
1	15	95	39	97	13	2	8	31	41	47	2	25	99	64	2	30	80	3	-1	57	8	97	84	64	88	100	3	89	19	
3	74	54	89	55	69	11	48	36	64	15	14	45	53	31	79	88	76	60	57	-1	71	9	20	80	44	79	60	3	65	
93	91	25	84	18	70	32	58	82	94	57	42	95	38	97	92	33	31	74	8	71	-1	40	55	29	61	56	57	77	69	
44	85	52	47	55	35	97	53	50	65	83	67	90	49	5	68	96	59	59	97	9	40	-1	38	91	2	81	8	19	6	
94	52	46	53	11	48	23	72	26	7	85	86	38	62	42	40	3	6	57	84	20	55	38	-1	47	70	26	35	15	49	
73	28	74	12	67	25	42	20	1	37	63	83	36	8	33	63	15	80	80	64	80	29	91	47	-1	31	20	87	90	62	
55	23	23	83	19	82	21	11	9	76	33	2	14	35	99	26	30	8	22	88	44	61	2	70	31	-1	82	26	22	7	
11	67	76	53	76	37	3	67	94	59	33	51	67	36	10	2	12	69	46	100	79	56	81	26	20	82	-1	4	11	83	
92	41	21	85	74	95	86	47	87	63	26	70	100	83	78	30	58	58	70	3	60	57	8	35	87	26	4	-1	56	91	
53	93	100	5	66	66	48	31	41	57	68	77	95	82	72	1	3	69	82	89	3	77	19	15	90	22	11	56	-1	39	
49	73	99	43	90	27	59	15	93	5	20	3	100	12	40	25	93	9	38	19	65	69	6	49	62	7	83	91	39	-1	
