30
-1	23	85	32	35	35	27	1	25	87	97	39	76	54	66	2	75	88	54	42	12	58	64	37	80	96	90	57	82	11	
54	-1	61	36	46	91	20	30	30	51	94	85	61	92	30	67	47	40	64	72	86	54	96	81	12	37	43	30	90	79	
67	17	-1	72	6	21	40	78	86	10	19	69	35	38	35	41	12	62	31	81	57	7	49	18	81	28	63	45	10	75	
51	52	97	-1	2	19	81	85	5	13	79	71	50	22	81	80	61	45	22	14	22	30	92	64	83	84	55	3	26	24	
24	72	31	11	-1	65	80	5	13	31	46	47	79	71	16	100	46	72	93	60	85	14	49	77	13	23	21	8	15	98	
84	58	78	25	18	-1	5	49	37	97	4	39	17	17	45	65	63	76	4	84	22	62	61	60	21	97	49	16	95	96	
99	23	35	49	76	30	-1	97	28	27	75	38	38	43	93	48	43	65	1	58	44	22	16	51	19	93	82	4	98	37	
95	31	38	2	56	45	17	-1	48	36	64	23	88	99	53	30	46	91	68	43	6	53	46	34	31	74	50	45	16	31	
83	25	93	90	32	6	30	97	-1	33	68	59	4	57	2	47	70	33	18	89	100	96	49	28	58	43	92	85	78	55	
91	55	90	33	73	13	96	5	4	-1	64	36	26	11	3	98	45	77	30	40	80	84	28	10	61	37	27	56	22	90	
25	100	7	93	32	76	86	3	81	62	-1	31	49	46	31	9	49	97	97	75	37	60	28	22	67	67	27	30	64	31	
22	47	63	76	31	90	96	72	49	68	66	-1	93	56	98	100	21	75	57	83	6	6	100	16	93	60	48	100	30	80	
12	93	32	38	37	39	4	84	91	91	96	33	-1	56	46	62	66	33	29	66	32	3	35	72	13	79	61	49	62	98	
81	53	16	54	5	90	82	73	10	67	91	7	10	-1	27	56	61	51	46	64	8	21	88	37	39	63	25	26	45	93	
84	99	39	32	57	69	49	19	29	43	22	92	31	36	-1	77	34	80	17	41	22	26	45	32	3	26	28	44	83	7	
73	74	50	83	71	63	41	72	93	92	71	5	73	77	2	-1	50	22	46	54	13	86	16	58	27	90	57	47	22	75	
22	37	80	33	13	11	64	82	20	86	87	61	56	73	74	68	-1	21	48	55	10	97	38	41	33	63	51	23	99	38	
6	47	23	2	99	15	43	19	100	44	4	12	45	99	1	17	82	-1	57	51	63	96	61	9	23	3	80	67	18	94	
40	92	76	75	37	20	72	36	72	23	19	22	40	12	3	86	22	25	-1	94	65	8	23	99	80	70	49	60	3	13	
32	36	34	48	41	11	94	96	46	8	77	86	13	86	88	66	55	14	7	-1	22	33	48	2	44	53	52	59	93	14	
79	45	22	75	2	19	37	5	54	83	60	88	8	77	51	41	63	94	72	81	-1	20	34	46	76	78	86	54	75	66	
54	26	42	28	42	54	82	87	90	78	66	25	39	61	36	99	56	34	19	35	9	-1	36	42	27	90	54	63	25	84	
17	65	47	48	49	55	97	88	22	39	88	46	90	54	53	69	35	48	95	58	55	14	-1	94	48	36	94	88	56	89	
50	4	12	52	33	20	81	54	31	47	54	68	35	24	51	43	22	74	62	78	53	36	28	-1	82	11	39	39	50	28	
89	43	81	85	4	95	73	25	72	29	53	64	49	56	73	34	76	97	20	42	63	12	90	15	-1	52	97	68	86	10	
19	24	73	2	23	37	100	21	68	27	26	41	89	3	71	13	55	77	95	12	37	21	5	69	65	-1	99	37	60	34	
11	63	89	39	97	61	58	29	81	10	58	83	25	88	95	92	10	55	55	22	57	20	55	18	62	25	-1	16	41	70	
89	75	25	92	53	61	27	45	60	46	23	21	89	91	64	17	35	23	91	99	38	68	42	19	11	58	17	-1	75	64	
35	7	61	13	30	96	44	58	25	87	8	74	42	28	45	95	6	84	10	59	5	72	11	62	84	9	36	9	-1	92	
69	73	75	62	71	2	54	52	27	45	28	47	40	58	42	17	29	26	5	28	58	48	55	80	81	28	56	42	97	-1	
