100
-1	74	88	55	59	7	2	73	3	77	12	16	79	39	39	93	18	100	55	94	63	3	41	54	64	8	34	83	51	39	42	10	10	17	21	93	2	52	68	40	29	76	39	8	29	19	5	95	44	53	29	95	27	12	35	11	60	45	2	11	84	64	97	8	51	84	24	67	77	19	49	60	60	81	30	3	43	27	76	26	75	82	4	69	100	75	93	6	90	1	83	95	68	80	6	26	69	81	22	67	
21	-1	20	65	31	34	77	1	81	71	98	61	25	57	39	78	16	37	15	98	75	33	59	79	13	55	93	53	27	2	10	18	39	9	90	65	32	41	83	13	54	35	33	27	75	23	21	26	4	31	49	99	74	59	47	8	47	68	56	56	89	7	55	92	69	19	58	28	56	91	96	1	2	89	83	38	82	57	28	68	66	78	49	3	35	50	30	29	40	65	23	57	71	32	37	37	72	29	7	91	
45	46	-1	19	18	1	61	93	50	61	99	3	69	96	42	10	10	42	83	48	15	67	8	98	31	49	40	19	23	91	25	46	53	24	23	61	86	95	17	67	52	12	41	63	4	27	59	21	52	31	14	80	81	38	94	44	75	47	85	7	65	76	25	75	10	69	21	41	84	57	88	96	23	51	58	31	30	55	32	25	90	83	90	51	87	96	59	18	19	5	37	6	24	6	17	81	18	69	34	53	
89	29	41	-1	29	8	10	19	36	41	41	38	23	75	60	77	52	10	45	7	64	54	11	21	38	70	89	31	12	94	30	68	90	67	85	53	73	74	69	40	54	51	43	85	42	55	43	25	88	97	93	77	85	61	74	81	27	86	69	94	41	85	37	52	62	89	95	64	61	21	57	25	92	16	55	89	63	43	29	75	2	12	76	50	5	90	8	49	73	33	22	37	60	63	31	34	49	75	97	54	
12	9	84	98	-1	6	34	3	34	62	74	28	51	11	27	34	70	10	12	54	8	14	17	56	97	56	65	94	50	38	53	61	70	7	27	79	70	22	83	9	71	2	48	34	28	39	63	67	89	73	31	60	96	65	57	43	46	38	54	96	51	90	64	57	65	81	90	83	38	73	54	64	93	35	94	22	76	17	83	44	27	93	44	63	67	80	46	56	59	6	22	20	83	73	96	52	96	96	10	22	
86	70	48	56	93	-1	79	99	83	9	18	59	67	40	91	42	9	2	88	58	33	46	83	22	66	4	98	75	46	16	33	60	38	50	91	44	5	32	63	15	59	64	89	48	33	87	14	45	100	61	56	12	43	57	85	100	45	27	13	47	71	24	70	7	17	86	60	66	62	45	86	19	5	33	83	77	11	65	100	70	47	27	28	4	23	41	17	67	59	88	43	31	59	83	71	79	33	69	74	83	
49	35	62	85	25	60	-1	59	58	27	74	73	24	81	6	54	75	7	54	75	60	19	6	20	92	74	60	91	1	41	33	5	73	50	37	67	84	75	72	22	12	15	14	54	11	48	16	92	12	97	52	78	13	85	55	47	73	44	92	79	56	9	88	28	31	47	64	98	73	55	23	44	2	1	93	51	32	7	70	6	43	24	63	71	17	37	93	5	94	97	19	71	60	56	39	27	58	21	60	79	
82	53	47	44	72	47	50	-1	63	13	70	60	69	81	51	50	53	61	100	1	45	55	61	21	94	85	16	42	100	4	88	73	21	94	1	33	42	79	48	98	79	45	61	37	92	9	80	46	17	95	48	79	96	1	96	74	100	36	8	4	40	60	28	55	96	89	16	24	72	22	60	21	14	41	88	35	65	95	70	87	47	65	74	10	58	19	95	29	66	76	28	86	26	30	54	61	66	12	64	18	
3	77	43	67	5	83	7	76	-1	77	15	85	49	46	11	82	36	38	45	44	40	92	98	92	73	36	31	8	80	80	98	58	93	82	69	84	92	48	42	26	33	98	90	17	4	46	31	65	15	20	88	5	29	33	89	65	95	90	90	36	76	49	80	63	55	59	64	77	19	94	86	97	70	72	19	94	67	69	23	89	24	94	7	28	21	38	29	89	8	21	11	12	45	71	48	89	90	62	8	42	
10	87	12	92	99	79	15	8	51	-1	56	43	76	63	21	2	39	79	46	98	61	54	29	47	46	55	70	60	66	6	92	93	29	95	60	11	64	87	9	65	83	12	14	77	96	16	8	54	20	1	18	33	25	60	25	89	44	73	59	31	36	65	57	86	95	75	5	100	79	56	61	69	75	70	64	39	67	55	96	86	93	89	42	33	74	5	26	45	80	45	46	38	25	50	36	67	56	17	69	61	
